X,Y,OBJECTID,project,Farm,Lat,Long,Depth,Depthcode,pH,N,OC,P,Ca,Mg,K,Na,Zn,Cu,Mn,Fe
4.76593000000003,6.74835000000007,975,Wells and Ore Farm,C3_15,6.74835,4.76593,0-15 cm,1,5.5,0.155479,1.358996,7.79196,314.8176,61.76772,42.732781,16.9694,9.08192,3.068945,23.062233,132.292402
4.76593000000003,6.74835000000007,976,Wells and Ore Farm,C3_30,6.74835,4.76593,15-30 cm,2,5.6,0.071919,0.79963,4.51548,221.5962,33.73584,31.914593,20.0123,5.883738,4.841593,9.386087,86.727592
4.76589000000007,6.75098000000003,977,Wells and Ore Farm,C4_15,6.75098,4.76589,0-15 cm,1,5.8,0.19073,1.449739,12.09234,384.7336,88.10076,49.944776,20.12477,13.677909,3.305298,37.216917,57.049622
4.76589000000007,6.75098000000003,978,Wells and Ore Farm,C4_30,6.75098,4.76589,15-30 cm,2,5.8,0.108629,0.823488,9.22542,314.8176,63.46668,28.3084,17.0361,13.621997,5.787006,29.333614,48.328761
4.76588000000004,6.75370000000004,979,Wells and Ore Farm,C5_15,6.7537,4.76588,0-15 cm,1,6.7,0.307339,2.764401,175.1385,850.8402,136.94424,28.3084,14.96748,20.666944,3.187121,26.235703,100.451118
4.76588000000004,6.75370000000004,980,Wells and Ore Farm,C5_30,6.7537,4.76588,15-30 cm,2,6.5,0.176693,1.631039,75.16458,477.955,88.10076,21.096405,18.98604,13.431895,5.018858,10.267607,124.044766
4.76586000000003,6.75650000000007,981,Wells and Ore Farm,C6_15,6.7565,4.76586,0-15 cm,1,6.9,0.296183,2.249036,60.82998,664.3976,196.15176,61.832349,10.92523,15.713116,1.975812,43.110504,100.924343
4.76586000000003,6.75650000000007,982,Wells and Ore Farm,C6_30,6.7565,4.76586,15-30 cm,2,6.7,0.155845,1.202149,35.43726,408.039,78.54972,87.236401,20.16525,52.749408,2.153076,26.890546,80.170045
4.76584000000003,6.75910000000005,983,Wells and Ore Farm,C7_15,6.7591,4.76584,0-15 cm,1,5.8,0.200477,1.676548,4.92504,454.6496,74.72868,47.315692,15.38056,10.53564,2.714415,29.484732,153.0467
4.76584000000003,6.75910000000005,984,Wells and Ore Farm,C7_30,6.7591,4.76584,15-30 cm,2,5.3,0.135889,1.137529,2.67246,338.123,47.98164,32.799426,18.60907,19.459239,2.625783,22.432576,134.658527
4.76573000000008,6.76187000000004,985,Wells and Ore Farm,C8_15,6.76187,4.76573,0-15 cm,1,5.2,0.198846,1.515442,4.51548,291.5122,67.93584,21.912031,16.92271,7.594654,1.562194,16.060449,93.217535
4.76573000000008,6.76187000000004,986,Wells and Ore Farm,C8_30,6.76187,4.76573,15-30 cm,2,4.6,0.109383,1.004623,2.46768,151.6802,23.78196,14.653507,12.88115,12.86159,1.384929,1.175363,121.273019
4.76559000000003,6.76466000000005,987,Wells and Ore Farm,C9_15,6.76466,4.76559,0-15 cm,1,5.5,0.235359,1.941042,10.04454,501.2602,73.03044,29.170164,17.06531,11.776892,3.098489,31.373702,153.790339
4.76559000000003,6.76466000000005,988,Wells and Ore Farm,C9_30,6.76466,4.76559,15-30 cm,2,4.7,0.106029,0.84018,4.10592,244.9016,33.54672,18.282769,17.06531,9.954152,4.014357,1.301294,119.177308
4.76594000000006,6.76721000000003,989,Wells and Ore Farm,C10_15,6.76721,4.76594,0-15 cm,1,4.4,0.13966,1.284881,1.85334,244.9016,43.3116,11.024245,15.00037,15.981495,1.591738,4.172529,120.52938
4.76594000000006,6.76721000000003,990,Wells and Ore Farm,C10_30,6.76721,4.76594,15-30 cm,2,5.3,0.209816,1.789277,4.51548,384.7336,117.18432,32.799426,19.34852,7.751208,1.857635,7.572676,151.965043
4.76575000000003,6.77000000000004,991,Wells and Ore Farm,C11_15,6.77,4.76575,0-15 cm,1,5.4,0.080639,0.604005,3.08202,314.8176,44.58528,50.944954,20.02334,10.927026,0.439516,13.466263,106.129818
4.76575000000003,6.77000000000004,992,Wells and Ore Farm,C11_30,6.77,4.76575,15-30 cm,2,5.4,0.084409,0.753703,5.3346,244.9016,31.42404,40.057559,20.18733,11.743345,1.562194,8.000843,152.641078
4.76571000000007,6.77276000000006,993,Wells and Ore Farm,C12_15,6.77276,4.76571,0-15 cm,1,5.2,0.170208,1.289939,7.79196,384.7336,66.66216,32.799426,19.75102,14.628418,2.005356,14.247038,84.496674
4.76571000000007,6.77276000000006,994,Wells and Ore Farm,C12_30,6.77276,4.76571,15-30 cm,2,4.9,0.10422,0.842426,14.34492,81.7642,40.76424,25.540902,19.00766,21.785189,1.621282,10.72096,112.890176
4.76570000000004,6.77536700000007,995,Wells and Ore Farm,C13_15,6.775367,4.7657,0-15 cm,1,5.3,0.171328,1.406518,3.08202,384.7336,101.90028,25.540902,11.93217,17.580586,1.148576,59.355649,145.880721
4.76570000000004,6.77536700000007,996,Wells and Ore Farm,C13_30,6.775367,4.7657,15-30 cm,2,4.7,0.12657,1.01461,4.51548,291.5122,61.14288,18.282769,19.63142,22.389042,1.591738,37.46878,108.563547
4.76569000000006,6.77812000000006,997,Wells and Ore Farm,C14_15,6.77812,4.76569,0-15 cm,1,5.5,0.218418,2.168689,12.91146,477.955,124.82628,61.832349,20.13236,20.588667,3.216665,26.814987,195.636953
4.76569000000006,6.77812000000006,998,Wells and Ore Farm,C14_30,6.77812,4.76569,15-30 cm,2,5.2,0.134921,1.333981,6.76806,221.5962,53.50092,47.315692,16.09793,58.128169,3.74846,11.32543,126.816512
4.76558700000004,6.78085200000004,999,Wells and Ore Farm,C15_15,6.780852,4.765587,0-15 cm,1,6,0.160866,1.636295,5.53938,268.207,130.77012,47.315692,19.88971,20.868228,0.646325,12.030646,211.794207
4.76558700000004,6.78085200000004,1000,Wells and Ore Farm,C15_30,6.780852,4.765587,15-30 cm,2,5.6,0.088624,0.825122,4.51548,244.9016,60.29376,36.428297,18.65139,20.063091,0.616781,26.789801,222.881194
4.76561300000003,6.78351000000004,1001,Wells and Ore Farm,C16_15,6.78351,4.765613,0-15 cm,1,6.2,0.178636,1.842032,3.69636,477.955,88.73904,36.428297,14.23355,28.114459,0.912222,3.039147,232.616109
4.76561300000003,6.78351000000004,1002,Wells and Ore Farm,C16_30,6.78351,4.765613,15-30 cm,2,4.6,0.15145,1.472355,3.49158,58.459,39.49056,21.912031,10.95053,28.919596,0.941767,74.719275,150.680575
4.76558000000006,6.78619000000003,1003,Wells and Ore Farm,C17_15,6.78619,4.76558,0-15 cm,1,5.6,0.297557,2.789141,3.90114,547.8708,157.0926,61.832349,17.68148,23.283638,0.734958,11.526921,213.281486
4.76558000000006,6.78619000000003,1004,Wells and Ore Farm,C17_30,6.78619,4.76558,15-30 cm,2,5.4,0.196175,1.845248,29.9082,361.4282,92.56008,36.428297,16.47766,16.842544,0.498605,45.150592,102.006
4.76556700000003,6.78893300000004,1005,Wells and Ore Farm,C18_15,6.788933,4.765567,0-15 cm,1,7.2,0.309325,2.546923,13.93536,850.8402,156.24348,54.574216,17.68148,13.621997,0.380428,16.010077,82.53617
4.76556700000003,6.78893300000004,1006,Wells and Ore Farm,C18_30,6.788933,4.765567,15-30 cm,2,6.7,0.180223,1.515442,3.90114,268.207,79.8234,43.686821,16.14025,24.893912,0.794046,29.15731,69.826698
4.76554100000004,6.79170100000005,1007,Wells and Ore Farm,C19_15,6.791701,4.765541,0-15 cm,1,6.3,0.206242,1.417317,2.67246,291.5122,100.20204,43.686821,20.18871,62.73534,2.182621,14.020361,94.975228
4.76554100000004,6.79170100000005,1008,Wells and Ore Farm,C19_30,6.791701,4.765541,15-30 cm,2,5.9,0.188449,2.025407,4.92504,221.5962,87.88992,25.540902,17.94575,24.893912,0.794046,7.371186,93.893571
